"id","artist","genre","grouped_genre","song","lyrics"
7319,"burden-of-a-day","Metal","Rock_n_Metal","sly foxes","We watch the waters rise, and let the tides come up to our neck
With pride taking on the ways screaming over and over again
""I never lie, I swear I can swim""
""I never lie"" but there I go again
What have we become I feel like we have just begun
Focus I want you at your, focus I want you at your best
I swear I'll never let go
Focus I want you at your, focus I want you at your best
Oh we are so smooth
The way you speak... the way I move
So seek all you want, you'll never catch me
Jesting the hare and consuming the feast
I will shake the earth
Oh we are sly sly foxes but this love will find us where we hide
This love will find us where we hide
This love will find us where we hide
Focus I want you at your best
What have we become I feel like we have just begun
Focus I want you at your, focus I want you at your best
I swear I'll never let go
Focus I want you at your, focus I want you at your best
Hold on, be strong stay steadfast you are your fathers son
Be still for the lion and lamb will lay as one
We watch the waters rise, and let the tides come up to our neck
With pride taking on the ways screaming over and over again"
237149,"alien-ken","Metal","Rock_n_Metal","master of clocks","I'm being troubled but I`m coming around
And I'm ready to go, ready to go
I'm being haunted but I'm coming around
And I'm ready to go, ready to go
I'm filled with sadness but I'm coming around
And I'm ready to go, ready to go
Breathe in breathe out - touch the ground
Hold your head up
I'm hiding shadows because I need the control
But I'm ready to go, ready to go
I'm loading images of people I know
But I'm ready to go, ready to go
I'm chasing something that is out there I know
But I'm ready to go, ready to go
Breathe in breathe out - touch the ground
Hold your head up"
102539,"doug-stone","Country","Country_n_Folk","little houses","A little white house, in the heart of town
On a little sad street, just a little run down
Became a home, for Bill and Sue
Two newlyweds, who did the best that they could do
And when they brush each other, passin' in the hall
Sue would smile and say, ""This place is pretty small""
""But you know, love grows best in little houses
With fewer walls to separate
Where you eat and sleep so close together
You can't help but communicate
Oh, and if we had more room between us, think of all we'd miss
Love grows best, in houses just like this""
Before too long, Sue and Bill
Were makin' plans, for Jack and Jill
Oh, happy day, when the news came in
But what to do, when they found out Sue was having twins
When they could not pass each other in the hall
Well, Sue would smile and say, ""This place is really, really small""
""But you know, love grows best in little houses
With fewer walls to separate
Where you eat and sleep so close together
You can't help but communicate
Oh, and if we had more room between us, think of all we'd miss
Love grows best, in houses just like this""
That little white frame house still keeps them warm
Though it's been thirty-two years, since the kids were born
And when they look back now, they hold each other tight
And whisper in each other's ears, ""You know you were right""
""Because love grows best in little houses
With fewer walls to separate
Where you eat and sleep so close together
You can't help but communicate
Oh, and if we had more room between us, think of all we'd miss
Love grows best, in houses just like this
Yeah, love grows best, in houses just like this"""
207063,"cowboy-mouth","Rock","Rock_n_Metal","man on the run","i've got the desert in my eyes and the western skies on my mind.
everywheere i look i see wide open country for miles.
looks like i ain't drivin nowhere
out in the distance there's a montain the size of the sun
adobe and teardrops are all i'm leaving behind
i feel like a man on the run...
in a bar in New Mexico an old man sells me a gun
i'm somewhere in Texas, i'm lost and don't see the signs
but i ain't shootin' no one, i feel like a man on the run
i feel like a man on the run
oh-oh-oh try and catch me!
oh-oh-oh try and catch me!
from San Bernadino i can see the lights of LA
oh-oh-oh i've just gotta be free, free, free
i can almost feel the redemption forgiveness becomes
i don't forgive anyone, i feel like a man on the run
the closer they get the further they're slippin' away
... and i don't forgive anyone
feel like a man on the run
... and i won't forgive anyone
... and i can't forgive anyone
that's true... so i won't forgive you..."
144904,"edenbridge","Metal","Rock_n_Metal","wings of the wind","Clouds passing by
On top of the mountains one touch in the sky
One touch in the sky
One reason to linger
Holding the stars right in my hand
Lifting shadows of the past
Crystal silhouettes
Longing for me
Their eyes full of regrets
I am waiting for an answer
I am waiting for a sign
Conquering the corridors to free
Myself from space and time
[Chorus]
Ride on ride on
Ride on the wings of the wind
Ride into the sunset
Ride on the wings of the wind
On the wings to carry on
Ride on the wings of the wind
The future is worth to believe in
The key that may unlock the chain
Silhouettes dissolve in the twilight
Embracing the ones who remain
The image of an endless horizon
Enchanting it's before my eyes
The glorious ride shall have no end
Hold on forever more
[Chorus]"
218460,"andre-rieu","Folk","Country_n_Folk","the godfather waltz",""
220970,"bachman-turner-overdrive","Rock","Rock_n_Metal","roll on down the highway","We rented a truck and a semi to go
Travel down the long and the winding road
Look on the map, I think we've been there before
Close up the doors, let's roll once more
Cop's on the corner, look he's starting to write
Well, I don't need no ticket so I screamed out of sight
Drove so fast that my eyes can't see
Look in the mirror, is he still following me?
Let it roll down the highway
Let it roll down the highway
Roll, roll
Look at the sign, we're in the wrong place
Move out boys and let's get ready to race
Four fifty-four's coming over the hill
The man on patrol is gonna give us a bill
The time's real short, you know the distance is long
I'd like to have a jet but it's not in the song
Climb back in the cab, cross your fingers for luck
We gotta keep moving if we're going to make a buck
Let it roll down the highway
Let it roll down the highway
Roll
Let it roll
Let it roll
Let it roll
Let it roll
Let it roll down the highway
Let it roll down the highway
Roll, roll, roll
Down the highway
Let it roll down the highway
Roll, roll, roll
Let it roll down the highway
Let it roll down the highway
Roll, roll, roll"
332210,"devo","Rock","Rock_n_Metal","devo has feelings too","Young hunks
Cyberpunks
And sweet things
Trying hard to change your luck
Baby thugs
Bad spuds
And mean things
Living for today or maybe even yesterday
Look around
Shaky ground
Do the right thing
In this world you're just a guest
Do it now
Time's run out for the pig thing
Living for today stealing from tomorrow
Law and order puppets remote-controlled by greed
And TV preacher robots won't give you what you need
Use your head
Sidestep the traps
Snake through the chaos with a smooth noodle map
Besides the king's been dead
They blew off his head in '63
Big bucks
Energy sucks
And dumb things
Make it hard to live and breathe
Add it up
No matter what
There's one thing
Living for today there's maybe no tomorrow
Subhuman bloodless leaders fed on lies and fear
And TV anchor news teams trim all we see and hear
Use your head
Sidestep the traps
Snake through the chaos with a smooth noodle map
Besides God isn't dead
He's in your head
Right where he ought to be"
26579,"the-defranco-family","Rock","Rock_n_Metal","gorilla","""Gorilla"" is what I want ya to call me
I'm so big, you gotta love all me
I got something so brand new
I want to be loved by you
Give you the love of a Gorilla
[Chorus:]
Gorilla likes you best
You make me beat on my chest
Aw, get you in my cage
We won't monkey around
Gorilla - the girls have named me
But you know none ever tamed me
I want to be tamed by you
I want to be claimed by you
Give you the love of a gorilla
[Chorus]"
345682,"chet-atkins","Country","Country_n_Folk","i ll see you in my dreams",""
53859,"antropomorphia","Metal","Rock_n_Metal","temphioth workings",""
271690,"destiny-s-end","Metal","Rock_n_Metal","the fortress unvanquishable","Night is the enemy men falsely perceive
Chasing pale spectres through a world within dreams
Fear is the catalyst to warp frail minds
At twilight's stroke phantoms besiege
Waking dreamers fall to an abyss of stars
Marching through the darkness where heroes always die
Comets blaze the way to nightmare's return
On feverish wings the creatures they fly
Fortress of dreams invincible you are
[Chorus]
Fortress Unvanquishable free my mind
Fortress Unvanquishable let me dream
When darkness falls our faith dispels
Strength will break through castle walls
Illusions of peace are dwelling behind
Conquer savagery; time enacts its toll
Mundane is the curse others fail to see
Empty is the sky for those who cannot dream
[Chorus]
Facing immortals shadows
Seeking the fortress tall
Escape the stark reality
Eternal, your quest of dreams
Men spin their tales of ages past
Leaves turning to ash, old legends die
Fear is the catalyst to warp frail minds
In lands beyond sleep, fleeing lost truths
Comets blaze the way to nightmare's return
Fortress of dreams invincible you are
[Chorus]"
226414,"acid-drinkers","Metal","Rock_n_Metal","seek destroy","We're scanning the scene in the city tonight
we're looking for you to start up the fight
oh, there is an evil feeling in our brains
but it's nothing new, you know it drives us insane
Running on your way
Hiding you will pay
dying one thousands deaths
Searching... seek and destroy
There is no escape and that's for sure
this is the end we won't take anymore
say good-bye to the world you live-in
you've always been taking but now you're givin
Running on your way
Hiding you will pay
dying one thousands deaths
Searching... seek and destroy"
64228,"barbara-mandrell","Country","Country_n_Folk","baby come home","Oh baby come home baby come home baby come home please come on home
I see your picture on every wall then I realize that you're not here at all
Come home now baby come home
Well I miss you so much come on home come on home
I love you so much come on home
Well all of those years were not all bad cause I'm so lonely I feel so sad
Oh but you come back baby come back to me and I hope that you still love me
Come home now please come on home
Well I miss you so much...
[ guitar ]
Well all of those years...
I love you so much come on home"
282819,"douglas-dare","Folk","Country_n_Folk","lungful","Take in a breath
and treasure the light
don`t let them see you move
you've got nothing to prove
Hold out your arms
and place them in mine
don`t let me feel you shake
in fear they find mistake
Silence this song
with bugles that play
you need to hear the call
they wishing you to fall
don't let them see you fail
I will not let you fail
I will not let you fail
I will not let
You fail"
185050,"armored-saint","Metal","Rock_n_Metal","dropping like flies","Any minute the sparks will fly
At that point you will see fear in their eyes
It don't take much to send them crawling back
Just a harsh word then you attack
Gather up and
Take a sigh
See them dropping
Dropping like flies
Find revenge as
Sweet as pie
See them dropping
Dropping like flies
Some call them noble but I say they're scum
Put them in control see what you become
No excuses for lack of brains
You had your chance now you can't complain
Gather up and
Take a sigh
See them dropping
Dropping like flies
Find revenge as
Sweet as pie
See them dropping
Dropping like flies
See them dropping
Dropping like flies
Dropping
Smashing
Dying
Down
Can't you see 'em up there
Up on their hill so high
Close enough for gunfire
Shoot 'em down to size
Long way down"
351906,"bathory","Metal","Rock_n_Metal","war","The bells of war doth chime tonight
And the heavens shake with fear
The earth commot the sky is in flames
The battle is ever near
[Troops of Hell tonight they storm
The walls they so despise
Heaven's gates are closing in
The night is filled with cries]
WAR, WAR, WAR
A crack of thunder, a smell of death
The wind of mayhem blows
Heaven in its final breath
And God lose all control
Prayers for mercy cries for help
Won't stop the blasphemy
Our troops emerge the sacred throne
And the victory is complete"
