"id","artist","song","lyrics"
175311,"good-old-war","no time","There's no reason
to be spending all my money on you
when you don't even want to talk
I just don't get it
I just don't get it
I want to be around, you know?
But you're making it too hard
I get no time with you honey
You're always busy
I give all of mine to you honey
but you're always busy
I come home from work
and you haven't gotten out of bed yet
You just don't get it
You just don't get it
I want to be around, you know?
But you're making it too hard
I get no time with you honey
You're always busy
I give all of mine to you honey
but you're always busy
I want to be around, you know?
But you're making it too hard
I get no time with you honey
You're always busy
I give all of mine to you honey
but you're watching TV
I give all my time to you honey
All my time
I give all of mine to you honey
But you got no time for me"
329466,"the-android-complex","from wedding to funeral","Bound by a fanatic of lies
No lawsuit can help you out now
Forged by a family of honor
Farewell my lunatic wife
nothing saves, nothing fails
should i end, my own life?
one thing, led to torture
blood spilled, on the altar
Oh, why'd you have to lie?
Now you have to die
was he so great for you?
your fate shall come through
We began preparations for your funeral
I begin to laugh with sword in hand
My best friend is now my enemy
I cannot stop laughing
Nothing saves, nothing fails
Should I end, my own life?
one thing, led to torture
blood spilled, on the altar!
Oh why'd you have to lie?
Now you have to die.
Was he so great for you?
your fate shall come through"
113096,"atrocity","tanz mit dem teufel","Ich bin bereit, ich bin bereit
L'amour fatal
Ich bin bereit, Ich bin bereit
la danse des morts
In einer Nacht der Einsamkeit
sah man uns - zu zweit
Mit deinem Liebesku hast Du mich berhrt
Mit unser beider Leidenschaft
entzogst Du mir die Lebenskraft
Mit eiskalten Blicken hast Du mich verfhrt
Ich bin bereit zu leben 1000 Jahr
L'amour fatal
Ich bin bereit zu leben 1000 Mal
La danse des morts
Gib' mir Deine Hand
Tanz der Teufel
Tanz mit mir den Tanz
den Tanz der Teufel
Vom Lichtschein bis ins Grab
Tanz der Teufel
Tanz der Teufel Tanz
den Tanz der Teufel
Tanz der Teufel!
In dieser dunklen Liebesnacht
hast Du es - vollbracht
Mit Deinem Todesku hast Du mich berhrt
Mein Leben wird fr immer Dein
Mein Durst nach Dir unendlich sein
mit eiskalten Lippen hast Du mich verfhrt
Ich bin bereit zu leben 1000 Jahr
L'amour fatal
Ich bin bereit zu leben 1000 Mal
La danse des morts
Gib' mir Deine Hand
Tanz der Teufel
Tanz mit mir den Tanz
den Tanz der Teufel
Vom Lichtschein bis ins Grab
Tanz der Teufel
Tanz der Teufel Tanz
den Tanz der Teufel
Tanz der Teufel!
Gib' mir Deine Hand
Tanz der Teufel
Tanz mit mir den Tanz
den Tanz der Teufel
Vom Lichtschein bis ins Grab
Tanz der Teufel
Tanz der Teufel Tanz
den Tanz der Teufel
Gib' mir Deine Hand
Tanz der Teufel
Tanz mit mir den Tanz
den Tanz der Teufel
Vom Lichtschein bis ins Grab
Tanz der Teufel
Tanz der Teufel Tanz
den Tanz der Teufel
la danse des diables
Tanz der Teufel!"
268426,"dreamaker","the eye of war","I am hidden
In my heart the fear
But I have to raise my head
I'm expecting
with my eyes full of tears
I need to see the death
Running through dead bodies
Always chasing the huge danger
To retain in my eye all this pain
All this horror on the floor
I am here because
Now I am the eye of war
In this war I'm a free prisoner
I'm waiting to find and to record
I can help you
But I'm not your salvation
I've to do my work
Day by day my sentiments
Vanish out of my soul
In this day I'm the only one
Maybe today I'll survive
Maybe I'll die...
In this madness
I'm a real victim
Sadness running through my veins
Open my lens
To record all your fear
I'll go out of this place"
6566,"da-dheimsgard","chrome balaclava",""
79585,"delain","we are the others","I'm walking with Sophie tonight,
She lives in the air that I breathe;
I can't get it out of my mind
How you were left to bleed
Was it how you dressed?
Or how you act?
I can't believe
How they could act so violently,
Without regret,
Well, we will not forget
We are the others,
We are the cast outs,
We're the outsiders
But you can't hide us,
We are the others,
We are the cast outs
You're not out there on your own
If you feel mistreated,
Torn and cheated,
You're not alone,
We are the others (we are the others)
As simple as air in your lungs
As simple as words on your lips
And no one should take that away
No one should argue this
Now with our heads up high
We'll carry on,
And carry out,
And we won't let them get us down,
Wear us out,
'Cause we are not alone
We are the others,
We are the cast outs,
We're the outsiders
But you can't hide us,
We are the others,
We are the cast outs
You're not out there on your own
If you feel mistreated,
Torn and cheated,
You're not alone,
We are the others (we are the others)
Normal is not the norm,
It's just a uniform
(We are the others)
Forget about the norm,
(We're the outsiders)
Take off your uniform,
(We are the others)
We are all beautiful,
(We are the others)
We are the others,
We are the cast outs,
We're the outsiders
But you can't hide us,
We are the others,
We are the cast outs
You're not out there on your own
If you feel mistreated,
Torn and cheated,
You're not alone,
We are the others (we are the others)
We are the others (we are the others)
We are the others"
207909,"damnation","voices of an unknown dimension","(instrumental)"
252285,"fred-eaglesmith","chain gang",""
335783,"cher","piu che puoi","Guarir non e' possibile
la malattia di vivere
sapessi com'e' vera questa cosa qui
E se ti fa soffrire un po' puniscila vivendola
e' l'unica maniera sorprenderla cosi'...
Piu' che puoi, piu' che puoi
afferra questo istante e stringi
piu' che puoi, piu' che puoi
e non lasciare mai la presa
see'e' tutta l'emozione dentro che tu vuoi
di vivere la vita piu' che puoi
You've got one chance, the gift to feel
love's deepest pain you cannot heal
it shatters every memory that you
keep inside
I tell you this because I know
protect what's dear, don't trade your soul
'cause there's nothing left around you
there's no place left to go
All you can, all you can
you gotta take this life and live it
all you can, all you can
never let it go
'cause there's one thing in this life I understand, ooh
Siamo noi, siamo noi
che abbiamo ancora voglia di stupire noi
siamo noi
che la teniamo sempre accesa
quest'ansia leggerissima che abbiamo poi
di vivere la vita piu' che puoi
Respira profondo
apri le tue braccia al mondo
e abbraccia tutto quello che ci sta
tutta l'emozione che ci sta
All you can, all you can
you gotta take this life and live it
all you can
all you can
and never let it go
'cause there's one thing in this life I understand, ooh
Piu' che puoi, piu' che puoi
afferra questa vita e stringi piu' che puoi
piu' che puoi
e non lasciare mai la presa
see'e' tutta l'emozione dentro che tu vuoi
di vivere la vita piu' che puoi
di vivere la vita
piu' che puoi"
345763,"chet-atkins","bye bye love",""
